Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,0.0001696446595536,0.0061208035986222,-0.0,0.0061208035986222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001696446595536,0.0
2017-07-04,-0.00045692915081400014,-0.016867542275946,-0.0,-0.016867542275946,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00045692915081400014,0.0
2017-07-05,9.50810729436e-05,0.0034503016800563995,-0.0,0.0034503016800563995,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.50810729436e-05,0.0
2017-07-06,2.26304519758e-05,0.0007393392337841999,-0.0,0.0007393392337841999,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26304519758e-05,0.0
2017-07-07,0.0002546058783954,0.0093227539644846,-0.0,0.0093227539644846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002546058783954,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-9.275858322620001e-05,-0.003552660195048,-0.0,-0.003552660195048,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-9.275858322620001e-05,0.0
2017-07-11,-1.9373304988600004e-05,-0.0007567462173114,-0.0,-0.0007567462173114,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.9373304988600004e-05,1.7926645953271482e-22
2017-07-12,0.00025519450348040004,0.009342468249519599,-0.0,0.009342468249519599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025519450348040004,0.0
2017-07-13,-0.0002914882002944,-0.010776402591645598,-0.0,-0.010776402591645598,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0002914882002944,0.0
2017-07-14,-0.00012891259732339999,-0.0047907075597966,-0.0,-0.0047907075597966,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00012891259732339999,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,4.71172555118e-05,0.0016055021669021997,-0.0,0.0016055021669021997,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.71172555118e-05,0.0
2017-07-18,0.0003137884931214,0.011499795159312598,-0.0,0.011499795159312598,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003137884931214,0.0
2017-07-19,-0.00020641507654879998,-0.007658274445117199,-0.0,-0.007658274445117199,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00020641507654879998,0.0
2017-07-20,-0.0001347181602404,-0.0050092197215795995,-0.0,-0.0050092197215795995,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0001347181602404,0.0
2017-07-21,0.0001808698060622,0.006569452048771799,-0.0,0.006569452048771799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001808698060622,3.5853291906542965e-22
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,0.00016467878024100003,0.005919182441548199,-0.0,0.005919182441548199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00016467878024100003,0.0
2017-07-25,-0.0001779536647984,-0.0065962926827675995,-0.0,-0.0065962926827675995,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0001779536647984,0.0
2017-07-26,-0.00023062489560660005,-0.008527776637379398,-0.0,-0.008527776637379398,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00023062489560660005,1.7926645953271482e-22
2017-07-27,-3.6423591158600004e-05,-0.0013850721215873999,-0.0,-0.0013850721215873999,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-3.6423591158600004e-05,0.0
