Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,6.806727238080001e-05,0.006220394126931601,-0.0,0.006220394126931601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.806727238080001e-05,0.0
2017-07-04,-0.00018333569149200005,-0.017141991115788006,-0.0,-0.017141991115788006,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00018333569149200005,0.0
2017-07-05,3.8149796800800006e-05,0.0035064409371992006,-0.0,0.0035064409371992006,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8149796800800006e-05,7.192786947649022e-23
2017-07-06,9.0801157124e-06,0.0007513688935676001,-0.0,0.0007513688935676001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0801157124e-06,0.0
2017-07-07,0.00010215663564120001,0.009474442868998803,-0.0,0.009474442868998803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010215663564120001,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-3.7217934043600006e-05,-0.003610464909744001,-0.0,-0.003610464909744001,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.7217934043600006e-05,0.0
2017-07-11,-7.7732363108e-06,-0.0007690591030892003,-0.0,-0.0007690591030892003,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.7732363108e-06,0.0
2017-07-12,0.00010239281227120001,0.009494477921728802,-0.0,0.009494477921728802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010239281227120001,7.192786947649022e-23
2017-07-13,-0.0001169550917632,-0.010951743559556802,-0.0,-0.010951743559556802,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0001169550917632,0.0
2017-07-14,-5.1724168025200004e-05,-0.004868656327334801,-0.0,-0.004868656327334801,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.1724168025200004e-05,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,1.8905063520400002e-05,0.0016316250127716004,-0.0,0.0016316250127716004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8905063520400002e-05,0.0
2017-07-18,0.00012590273626920002,0.011686906321582802,-0.0,0.011686906321582802,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012590273626920002,-7.192786947649022e-23
2017-07-19,-8.282082840639999e-05,-0.007782880893541601,-0.0,-0.007782880893541601,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-8.282082840639999e-05,0.0
2017-07-20,-5.4053559551200004e-05,-0.005090723862408802,-0.0,-0.005090723862408802,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.4053559551200004e-05,0.0
2017-07-21,7.257118725160002e-05,0.006676342457800402,-0.0,0.006676342457800402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.257118725160002e-05,0.0
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,6.607479079800002e-05,0.006015492427159602,-0.0,0.006015492427159602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.607479079800002e-05,0.0
2017-07-25,-7.140113107520001e-05,-0.006703619811072802,-0.0,-0.006703619811072802,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.140113107520001e-05,-7.192786947649022e-23
2017-07-26,-9.253464051480002e-05,-0.008666530604393203,-0.0,-0.008666530604393203,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-9.253464051480002e-05,0.0
