Code,LocalCode,Name,G0,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,RebateAtchison,RebateAtchisonCode,PeerGroup,OptimiserCategory,Type,Hurdle,E-score,S-score,G-score,ESG-score,Controversy-score,Controversy-Items,Unnamed:30,Citicode,LastPrice,MarketCap,Exchange,MktVolume,ShortSell%,Date,BasicEPS,TotalRevenues,DividendperShare-Net,TotalAssets,TotalLiabilities,GrowthofNetIncome(%),GrowthofNetSales(%),GrowthofFreeCashFlow(%),ReturnonTotalEquity(%),PayoutRatio,TotalDebt/TotalAssets,NetProfitMargin(%),InterestCover(EBIT),Unnamed:51,Unnamed:52,YieldtoMaturity,IRDuration,CreditDuration,AvCreditRating,AAA_ModDur,AA_ModDur,A_ModDur,BBB_ModDur,BB_ModDur,B_ModDur,CCC_ModDur,NotRated_ModDur,CashEq_ModDur,Gov_ModDur,Corporates_ModDur,Securitised_ModDur,Other_ModDur,CashEq_ModDur.1,AAA_CredSprDur,AA_CredSprDur,A_CredSprDur,BBB_CredSprDur,BB_CredSprDur,B_CredSprDur,CCC_CredSprDur,NotRated_CredSprDur,CashEq_CredSprDur,Gov_CredSprDur,Corporates_CredSprDur,Securitised_CredSprDur,Other_CredSprDur,CashEq_CredSprDur.1,Unnamed:85,FE_Objective,FE_PerformanceFee,FE_PrimaryManager,FE_PrimaryManagerStartDate,FE_PrimaryManagerBiography,FE_Benchmark,FE_CrownRating,FE_FundSize,FE_HistoryStart,FE_PortfolioTurnoverRatio,FE_AverageMaturityDate,FE_LonsecRating,FE_MstarAnalystRating,FE_AnnualCharge,PE_Ratio,EarningsYield,PriceBook
IOZ-AU,nan,iShares Core S&P/ASX 200 ETF,Growth,Australian Shares,Australian Shares,Australian Shares,ETF Index,Core,AUD,Core,,,,,,,,,,Australia Large Blend Equity,Australian Equities,ETF,,,,,,,,,G1ED,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGS-AU,nan,Vanguard MSCI Index International Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,Developed ,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,MQVY,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VGAD-AU,nan,Vanguard MSCI Index International Shares (hedged) ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,Local,Developed ,,,,,,,,,,World Currency Hedged Equity,International Equities - Hedged,ETF,,,,,,,,,M7YI,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVV-AU,nan,iShares S&P 500 ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,AUD,US,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,K49D,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IHVV-AU,nan,iShares S&P 500 AUD Hedged ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,US,USD,US,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,NSHL,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEU-AU,nan,iShares Europe ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,Europe,,,,,,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,K49G,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VEQ-AU,nan,Vanguard FTSE Europe Shares ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Europe,AUD,Europe,,,,,,,,,,Europe Equity,International Equities - Unhedged,ETF,,,,,,,,,MWZQ,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IJP-AU,nan,iShares MSCI Japan ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Japan,AUD,Japan,,,,,,,,,,World Other Equity,International Equities - Unhedged,ETF,,,,,,,,,K49L,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IEM-AU,nan,iShares MSCI Emerging Markets ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging Markets,AUD,Emerging Markets,,,,,,,,,,Emerging Markets Equity,International Equities - Emerging,ETF,,,,,,,,,K49J,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IZZ-AU,nan,iShares China Large-Cap ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Emerging Markets,AUD,Emerging Markets,,,,,,,,,,Asia Pacific ex Japan Equity,International Equities - Unhedged,ETF,,,,,,,,,K49C,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WVOL-AU,nan,iShares Edge MSCI World Min Vol ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed ,AUD,Developed ,,,,,,,,,,World Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,NSHQ,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVE-AU,nan,iShares MSCI EAFE ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Developed EX us,AUD,Developed ex. US,,,,,,,,,,World ex US Large Blend Equity,International Equities - Unhedged,ETF,,,,,,,,,K49I,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IKO-AU,nan,iShares MSCI South Korea ETF,Growth,International Shares,Global Shares,Global Shares,ETF Index,Korea,AUD,Korea,,,,,,,,,,South Korea Equity,International Equities - Unhedged,ETF,,,,,,,,,K49N,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBLD-AU,nan,Vanguard Global Infrastructure Index ETF,Growth,Real Assets,Alternatives,Alternatives (Growth),ETF Index,,,Global Listed Infrastructure,,,,,,,,,,Global Infrastructure,Global Unlisted Infrastructure,ETF,,,,,,,,,PPY2,,,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IAF-AU,nan,iShares Core Composite Bond ETF,Defensive,Long Duration,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Core Australian Bonds,,,,,,,,,,Australian Bonds,Australian Fixed Interest,ETF,,,,,,,,,G1EH,,,nan,,,,,,,,,,,,,,,,,,,4.13,4.99,5.87,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ILB-AU,nan,iShares Government Inflation ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Inflation Linked Bonds,,,,,,,,,,Inflation linked Bonds,Inflation Linked Government Bonds,ETF,,,,,,,,,G1EI,,,nan,,,,,,,,,,,,,,,,,,,3.9,7.24,8.06,AAA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLOT-AU,nan,VanEck Australian Floating Rate ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Floating Rate Bonds,,,,,,,,,,Diversified Credit,Floating High Yield Credit,ETF,,,,,,,,,O64U,,,nan,,,,,,,,,,,,,,,,,,,4.69,0.15,2.31,AA-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHYB-AU,nan,BetaShares Australian Major Bank Hybrids Index ETF,Defensive,Floating Rate,Australian Fixed Interest,Australian Fixed Interest,ETF Index,,,Bank Hybrids,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,WCIX,,,nan,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VBND-AU,nan,Vanguard Global Agg Bond Index (hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Global Aggregate Bonds,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,O8LC,,,nan,,,,,,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AESG-AU,nan,iShares Global Aggregate Bond ESG (AUD Hedged) ETF,Defensive,Long Duration,Global Fixed Interest,Global Fixed Interest,ETF Index,,,Global Aggregate Bonds,,,,,,,,,,Global Bonds ,International Fixed Interest,ETF,,,,,,,,,YNPV,,,nan,,,,,,,,,,,,,,,,,,,3.66,6.54,8.37,AA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
