Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,0.00034948387874399997,0.005437110652712999,-0.0,0.005437110652712999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00034948387874399997,0.0
2017-07-04,-0.0009413168228100001,-0.014983440052590002,-0.0,-0.014983440052590002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0009413168228100001,3.6930568737651712e-22
2017-07-05,0.000195875910594,0.0030649034424059998,-0.0,0.0030649034424059998,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000195875910594,0.0
2017-07-06,4.662084945699999e-05,0.000656755139943,-0.0,0.000656755139943,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.662084945699999e-05,0.0
2017-07-07,0.000524511942591,0.008281403589609,-0.0,0.008281403589609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000524511942591,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-0.00019109136437299998,-0.0031558285249199997,-0.0,-0.0031558285249199997,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00019109136437299998,0.0
2017-07-11,-3.9910821769e-05,-0.000672217765731,-0.0,-0.000672217765731,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.9910821769e-05,0.0
2017-07-12,0.000525724565366,0.008298915791633998,-0.0,0.008298915791633998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000525724565366,0.0
2017-07-13,-0.0006004929781759999,-0.009572679858924,-0.0,-0.009572679858924,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0006004929781759999,0.0
2017-07-14,-0.000265572017711,-0.004255586164089,-0.0,-0.004255586164089,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000265572017711,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,9.706595689699998e-05,0.0014261677889129997,-0.0,0.0014261677889129997,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.706595689699998e-05,0.0
2017-07-18,0.0006464336688809999,0.010215269573229,-0.0,0.010215269573229,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006464336688809999,0.0
2017-07-19,-0.0004252343797519999,-0.006802846210638,-0.0,-0.006802846210638,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0004252343797519999,0.0
2017-07-20,-0.00027753202076599996,-0.0044496905465339995,-0.0,-0.0044496905465339995,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00027753202076599996,0.0
2017-07-21,0.000372608731313,0.0058356451307969995,-0.0,0.0058356451307969995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000372608731313,7.3861137475303425e-22
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,0.00033925370251500003,0.005258010552003,-0.0,0.005258010552003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033925370251500003,0.0
2017-07-25,-0.00036660120733599997,-0.005859487669553999,-0.0,-0.005859487669553999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00036660120733599997,0.0
2017-07-26,-0.000475108873239,-0.007575225123950999,-0.0,-0.007575225123950999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.000475108873239,3.6930568737651712e-22
2017-07-27,-7.5036007319e-05,-0.0012303597502709997,-0.0,-0.0012303597502709997,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-7.5036007319e-05,0.0
