Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,-4.79098473e-05,-0.005583307911699999,-0.0,0.0,-0.0,-0.005583307911699999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-4.79098473e-05,0.0
2017-07-04,-2.9319556800000002e-05,-0.0033942746431999994,0.0,0.0,-0.0,-0.0033942746431999994,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.9319556800000002e-05,0.0
2017-07-05,-5.8930929e-06,-0.0007210389071,-0.0,0.0,-0.0,-0.0007210389071,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.8930929e-06,0.0
2017-07-06,1.2482516399999998e-05,0.0013271246835999998,0.0,0.0,-0.0,0.0013271246835999998,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2482516399999998e-05,0.0
2017-07-07,1.4633748e-05,0.0016198238519999997,-0.0,0.0,-0.0,0.0016198238519999997,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1.4633748e-05,0.0
2017-07-08,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-3.36279795e-05,-0.003973343529499999,-0.0,0.0,-0.0,-0.003973343529499999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.36279795e-05,0.0
2017-07-11,1.3680871799999998e-05,0.0015142246281999998,0.0,0.0,-0.0,0.0015142246281999998,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3680871799999998e-05,0.0
2017-07-12,-1.0623239400000002e-05,-0.0012600037605999999,-0.0,0.0,-0.0,-0.0012600037605999999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.0623239400000002e-05,0.0
2017-07-13,2.8983797699999998e-05,0.0032519309022999996,0.0,0.0,-0.0,0.0032519309022999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8983797699999998e-05,0.0
2017-07-14,6.829343399999999e-06,0.0007305702565999999,0.0,0.0,-0.0,0.0007305702565999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.829343399999999e-06,0.0
2017-07-15,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,4.35472932e-05,0.0048311362367999995,0.0,0.0,-0.0,0.0048311362367999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35472932e-05,0.0
2017-07-18,0.00011464262309999999,0.013014195806899997,0.0,0.0,-0.0,0.013014195806899997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011464262309999999,0.0
2017-07-19,-6.3550803e-06,-0.0007874579896999999,0.0,0.0,-0.0,-0.0007874579896999999,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-6.3550803e-06,0.0
2017-07-20,-1.3490211299999998e-05,-0.0015896476886999998,0.0,0.0,-0.0,-0.0015896476886999998,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.3490211299999998e-05,0.0
2017-07-21,-3.48718272e-05,-0.004061510742799999,-0.0,0.0,-0.0,-0.004061510742799999,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.48718272e-05,0.0
2017-07-22,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,3.0093091199999997e-05,0.0032853228427999993,-0.0,0.0,-0.0,0.0032853228427999993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0093091199999997e-05,0.0
2017-07-25,-7.542282299999999e-06,-0.0009078612876999998,0.0,0.0,-0.0,-0.0009078612876999998,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.542282299999999e-06,0.0
2017-07-26,-2.2519958699999998e-05,-0.0026075165112999996,0.0,0.0,-0.0,-0.0026075165112999996,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.2519958699999998e-05,0.0
