Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,-2.31288918e-05,-0.005608653302200001,-0.0,0.0,-0.0,-0.005608653302200001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.31288918e-05,0.0
2017-07-04,-1.41542688e-05,-0.0034096829312000006,0.0,0.0,-0.0,-0.0034096829312000006,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.41542688e-05,0.0
2017-07-05,-2.8449414e-06,-0.0007243120586000001,-0.0,0.0,-0.0,-0.0007243120586000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.8449414e-06,0.0
2017-07-06,6.026042399999999e-06,0.0013331491576000002,0.0,0.0,-0.0,0.0013331491576000002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.026042399999999e-06,0.0
2017-07-07,7.064568e-06,0.0016271770320000001,-0.0,0.0,-0.0,0.0016271770320000001,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,7.064568e-06,0.0
2017-07-08,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-1.6234197e-05,-0.003991380497,-0.0,0.0,-0.0,-0.003991380497,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.6234197e-05,0.0
2017-07-11,6.604558799999999e-06,0.0015210984412000002,0.0,0.0,-0.0,0.0015210984412000002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.604558799999999e-06,0.0
2017-07-12,-5.1284604000000005e-06,-0.0012657235396000002,-0.0,0.0,-0.0,-0.0012657235396000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.1284604000000005e-06,0.0
2017-07-13,1.39921782e-05,0.0032666930218000004,0.0,0.0,-0.0,0.0032666930218000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.39921782e-05,0.0
2017-07-14,3.2969243999999997e-06,0.0007338866756000001,0.0,0.0,-0.0,0.0007338866756000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2969243999999997e-06,0.0
2017-07-15,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,2.10228312e-05,0.004853067148800001,0.0,0.0,-0.0,0.004853067148800001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.10228312e-05,0.0
2017-07-18,5.534471459999999e-05,0.013073273665400002,0.0,0.0,-0.0,0.013073273665400002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.534471459999999e-05,0.0
2017-07-19,-3.0679698e-06,-0.0007910326502000001,0.0,0.0,-0.0,-0.0007910326502000001,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.0679698e-06,0.0
2017-07-20,-6.5125158e-06,-0.0015968638842000003,0.0,0.0,-0.0,-0.0015968638842000003,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-6.5125158e-06,0.0
2017-07-21,-1.6834675199999998e-05,-0.004079947944800001,-0.0,0.0,-0.0,-0.004079947944800001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.6834675199999998e-05,0.0
2017-07-22,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,1.4527699199999999e-05,0.0033002365448000005,-0.0,0.0,-0.0,0.0033002365448000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4527699199999999e-05,0.0
2017-07-25,-3.6411017999999995e-06,-0.0009119825182,0.0,0.0,-0.0,-0.0009119825182,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.6411017999999995e-06,0.0
2017-07-26,-1.0871704199999999e-05,-0.0026193533158000003,0.0,0.0,-0.0,-0.0026193533158000003,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.0871704199999999e-05,0.0
