Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,8.336328000000001e-05,0.006205397310000002,-0.0,0.006205397310000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.336328000000001e-05,0.0
2017-07-04,-0.00022453470000000005,-0.017100663300000006,-0.0,-0.017100663300000006,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00022453470000000005,0.0
2017-07-05,4.6722780000000005e-05,0.0034979872200000006,-0.0,0.0034979872200000006,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6722780000000005e-05,-8.809142651444724e-23
2017-07-06,1.112059e-05,0.0007495574100000001,-0.0,0.0007495574100000001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.112059e-05,0.0
2017-07-07,0.00012511317000000002,0.009451600830000002,-0.0,0.009451600830000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012511317000000002,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-4.5581510000000005e-05,-0.003601760400000001,-0.0,-0.003601760400000001,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-4.5581510000000005e-05,-3.5236570605778897e-22
2017-07-11,-9.52003e-06,-0.0007672049700000002,-0.0,-0.0007672049700000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-9.52003e-06,0.0
2017-07-12,0.00012540242000000002,0.009471587580000003,-0.0,0.009471587580000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012540242000000002,-8.809142651444724e-23
2017-07-13,-0.00014323712,-0.010925339880000001,-0.0,-0.010925339880000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00014323712,0.0
2017-07-14,-6.334757e-05,-0.004856918430000001,-0.0,-0.004856918430000001,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-6.334757e-05,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,2.315339e-05,0.0016276913100000004,-0.0,0.0016276913100000004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.315339e-05,0.0
2017-07-18,0.00015419547,0.011658730230000003,-0.0,0.011658730230000003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00015419547,0.0
2017-07-19,-0.00010143223999999999,-0.007764117060000001,-0.0,-0.007764117060000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00010143223999999999,0.0
2017-07-20,-6.620042e-05,-0.005078450580000001,-0.0,-0.005078450580000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-6.620042e-05,-8.809142651444724e-23
2017-07-21,8.887931000000001e-05,0.006660246390000001,-0.0,0.006660246390000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.887931000000001e-05,0.0
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,8.092305000000001e-05,0.006000989610000001,-0.0,0.006000989610000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.092305000000001e-05,0.0
2017-07-25,-8.744632000000001e-05,-0.006687457980000001,-0.0,-0.006687457980000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-8.744632000000001e-05,0.0
2017-07-26,-0.00011332893000000002,-0.008645636370000001,-0.0,-0.008645636370000001,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00011332893000000002,0.0
2017-07-27,-1.789853e-05,-0.0014042147700000004,-0.0,-0.0014042147700000004,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.789853e-05,-8.809142651444724e-23
