Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,4.4887919999999996e-05,0.006048219060000002,-0.0,0.006048219060000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4887919999999996e-05,0.0
2017-07-04,-0.00012090330000000001,-0.016667515800000008,-0.0,-0.016667515800000008,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.00012090330000000001,0.0
2017-07-05,2.5158419999999998e-05,0.003409385720000001,-0.0,0.003409385720000001,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5158419999999998e-05,0.0
2017-07-06,5.988009999999999e-06,0.0007305716600000001,-0.0,0.0007305716600000001,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.988009999999999e-06,0.0
2017-07-07,6.736863e-05,0.009212198580000004,-0.0,0.009212198580000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.736863e-05,0.0
2017-07-08,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-2.454389e-05,-0.003510530400000001,-0.0,-0.003510530400000001,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.454389e-05,0.0
2017-07-11,-5.12617e-06,-0.0007477722200000003,-0.0,-0.0007477722200000003,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.12617e-06,0.0
2017-07-12,6.752437999999999e-05,0.009231679080000003,-0.0,0.009231679080000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.752437999999999e-05,0.0
2017-07-13,-7.712767999999999e-05,-0.010648608880000002,-0.0,-0.010648608880000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.712767999999999e-05,0.0
2017-07-14,-3.411022999999999e-05,-0.0047338961800000015,-0.0,-0.0047338961800000015,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.411022999999999e-05,0.0
2017-07-15,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,1.2467209999999997e-05,0.0015864630600000004,-0.0,0.0015864630600000004,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2467209999999997e-05,0.0
2017-07-18,8.302832999999999e-05,0.011363422980000003,-0.0,0.011363422980000003,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.302832999999999e-05,0.0
2017-07-19,-5.461735999999999e-05,-0.007567457560000002,-0.0,-0.007567457560000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-5.461735999999999e-05,0.0
2017-07-20,-3.564638e-05,-0.004949817080000002,-0.0,-0.004949817080000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.564638e-05,0.0
2017-07-21,4.7858089999999994e-05,0.0064915471400000015,-0.0,0.0064915471400000015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7858089999999994e-05,0.0
2017-07-22,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,4.3573949999999996e-05,0.005848988860000002,-0.0,0.005848988860000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3573949999999996e-05,0.0
2017-07-25,-4.7086479999999996e-05,-0.006518069480000002,-0.0,-0.006518069480000002,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-4.7086479999999996e-05,0.0
2017-07-26,-6.102327e-05,-0.008426648620000003,-0.0,-0.008426648620000003,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-6.102327e-05,-4.7433845046240814e-23
