Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,-0.001908282204738,-0.003576555094457,-0.001896370825461,0.00100027609587,-0.0,-0.004576831190327,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.1911379277000001e-05,0.0
2017-07-04,0.002204478757332,-0.0055389380426919994,0.002211768205764,-0.0027565333641,-0.0,-0.002782404678592,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.289448432e-06,0.0
2017-07-05,-0.0006810449090939998,-2.7204204360999984e-05,-0.0006795797642729998,0.00056385640194,-0.0,-0.000591060606301,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.465144821e-06,0.0
2017-07-06,9.5276144694e-05,0.0012087146970859999,9.2172732858e-05,0.00012082455356999999,-0.0,0.0010878901435159999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.103411836e-06,0.0
2017-07-07,-0.00125993396043,0.0028513721490299997,-0.00126357221295,0.00152354634291,-0.0,0.0013278258061199999,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,3.63825252e-06,0.0
2017-07-08,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-6.547953893999997e-05,-0.0038376716044449997,-5.711892748499997e-05,-0.0005805840708,-0.0,-0.003257087533645,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-8.360611455e-06,0.0
2017-07-11,0.000370096541358,0.0011175932152519999,0.00036669519357599995,-0.00012366924369,-0.0,0.001241262458942,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.401347782e-06,0.0
2017-07-12,-0.0017316339479039999,0.0004938993032739998,-0.001728992790798,0.0015267680976599998,-0.0,-0.001032868794386,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.6411571060000003e-06,0.0
2017-07-13,0.0022902306421619997,0.0009046155612529999,0.0022830246703889998,-0.0017611050147599999,-0.0,0.0026657205760129998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.205971773e-06,0.0
2017-07-14,0.0009018596933939999,-0.00018403489396399996,0.0009001617773279998,-0.0007829086781099999,-0.0,0.000598873784146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.697916066e-06,0.0
2017-07-15,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,0.000523826528262,0.004222624908077999,0.000512999770194,0.00026237493387,-0.0,0.003960249974208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0826758068000001e-05,0.0
2017-07-18,0.00023789638119600009,0.012547511315749,0.0002093938531770001,0.0018793235267099999,-0.0,0.010668187789039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8502528019e-05,0.0
2017-07-19,0.001123569873642,-0.0018970398241269998,0.001125149878089,-0.0012515331916199998,-0.0,-0.0006455066325069999,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.5800044469999998e-06,0.0
2017-07-20,0.000560133505722,-0.002121707806857,0.000563487451359,-0.0008186184486599999,-0.0,-0.001303089358197,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-3.353945637e-06,0.0
2017-07-21,-0.0017341185592019998,-0.0022557659780380003,-0.0017254487014739998,0.00107359527903,-0.0,-0.003329361257068,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-8.669857728e-06,0.0
2017-07-22,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,-0.00043256602243800003,0.003660419801038,-0.00044004778752600003,0.00096732669297,-0.0,0.002693093108068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.481765088e-06,0.0
2017-07-25,0.0009303989929619999,-0.001822187031347,0.0009322741603889999,-0.00107798163846,-0.0,-0.0007442053928869999,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.8751674269999997e-06,0.0
