Date,P_TOTAL_G1 -- Allocation Effect,P_TOTAL_G1 -- Selection Effect,G1_Australian Shares-- Allocation Effect,G1_Australian Shares-- Selection Effect,G1_International Shares-- Allocation Effect,G1_International Shares-- Selection Effect,G1_Real Assets-- Allocation Effect,G1_Real Assets-- Selection Effect,G1_Alternatives-- Allocation Effect,G1_Alternatives-- Selection Effect,G1_Long Duration-- Allocation Effect,G1_Long Duration-- Selection Effect,G1_Floating Rate-- Allocation Effect,G1_Floating Rate-- Selection Effect,G1_Cash-- Allocation Effect,G1_Cash-- Selection Effect
2017-06-30,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-01,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-02,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-03,-0.00018036442270000003,-0.005393814091199997,-7.628440960000001e-05,4.0237632e-05,-0.0,-0.005434051723199997,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0001040800131,0.0
2017-07-04,2.5277540799999992e-05,-0.0034144227071999985,8.89717504e-05,-0.00011088576000000002,-0.0,-0.0033035369471999983,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-6.369420960000001e-05,0.0
2017-07-05,-4.01393691e-05,-0.0006790816975999997,-2.7337132799999997e-05,2.2681984e-05,-0.0,-0.0007017636815999996,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.28022363e-05,0.0
2017-07-06,3.08249796e-05,0.0012965075775999994,3.7077888000000003e-06,4.860352e-06,-0.0,0.0012916472255999993,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71171908e-05,0.0
2017-07-07,-1.9038564000000006e-05,0.001637808767999999,-5.0829120000000006e-05,6.128697600000001e-05,-0.0,0.001576521791999999,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,3.1790556e-05,0.0
2017-07-08,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-09,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-10,-7.535158250000001e-05,-0.0038904807119999976,-2.297695999999999e-06,-2.335488e-05,-0.0,-0.0038671258319999974,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.30538865e-05,0.0
2017-07-11,4.44713882e-05,0.0014687707231999991,1.47508736e-05,-4.974784000000001e-06,-0.0,0.001473745507199999,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97205146e-05,0.0
2017-07-12,-9.26294446e-05,-0.0011649040415999993,-6.95513728e-05,6.1416576e-05,-0.0,-0.0012263206175999993,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.3078071800000002e-05,0.0
2017-07-13,0.0001548029523,0.003094155284799998,9.18381504e-05,-7.0843136e-05,-0.0,0.003164998420799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.29648019e-05,0.0
2017-07-14,5.10465406e-05,0.0006795465375999995,3.62103808e-05,-3.1493696e-05,-0.0,0.0007110402335999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.48361598e-05,0.0
2017-07-15,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2017-07-16,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-17,0.00011523893880000002,0.0047125419647999975,2.0636198400000005e-05,1.0554432000000001e-05,-0.0,0.004701987532799997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.46027404e-05,0.0
2017-07-18,0.0002574744029,0.012741891518399993,8.423187200000005e-06,7.5598656e-05,-0.0,0.012666292862399993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002490512157,0.0
2017-07-19,3.1455006299999994e-05,-0.0008167520431999996,4.5260870399999997e-05,-5.0344832e-05,-0.0,-0.0007664072111999995,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.38058641e-05,0.0
2017-07-20,-6.639178699999997e-06,-0.001580082491199999,2.2667142400000003e-05,-3.2930176e-05,-0.0,-0.0015471523151999991,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-2.93063211e-05,0.0
2017-07-21,-0.0001451648448,-0.003909749100799998,-6.940880640000001e-05,4.3187008e-05,-0.0,-0.003952936108799998,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-7.57560384e-05,0.0
2017-07-22,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-23,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-07-24,4.76730528e-05,0.003236409900799998,-1.77015936e-05,3.8912192e-05,-0.0,0.003197497708799998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.53746464e-05,0.0
2017-07-25,2.1117192300000005e-05,-0.0009269552751999994,3.7502150400000005e-05,-4.3363456000000006e-05,-0.0,-0.0008835918191999995,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.63849581e-05,0.0
