,PortfolioCode,Date,AllocationType,Position,Weight,RebalanceID
7014,AAPF_Full,2022-03-31,Tactical,FRE0004,0.5,AAPF_FullTactical2022-03-31
7019,AAPF_Full,2022-03-31,Tactical,MAQ0641AU,2.82,AAPF_FullTactical2022-03-31
7023,AAPF_Full,2022-03-31,Tactical,FRE0003,4.26,AAPF_FullTactical2022-03-31
7059,AAPF_Full,2022-04-30,Tactical,FRE0004,0.53,AAPF_FullTactical2022-04-30
7064,AAPF_Full,2022-04-30,Tactical,MAQ0641AU,2.78,AAPF_FullTactical2022-04-30
7067,AAPF_Full,2022-04-30,Tactical,FRE0003,4.19,AAPF_FullTactical2022-04-30
7106,AAPF_Full,2022-05-31,Tactical,FRE0004,0.58,AAPF_FullTactical2022-05-31
7110,AAPF_Full,2022-05-31,Tactical,MAQ0641AU,3.03,AAPF_FullTactical2022-05-31
7113,AAPF_Full,2022-05-31,Tactical,FRE0003,4.58,AAPF_FullTactical2022-05-31
7151,AAPF_Full,2022-06-30,Tactical,FRE0004,0.63,AAPF_FullTactical2022-06-30
7155,AAPF_Full,2022-06-30,Tactical,MAQ0641AU,3.18,AAPF_FullTactical2022-06-30
7160,AAPF_Full,2022-06-30,Tactical,FRE0003,4.8,AAPF_FullTactical2022-06-30
7198,AAPF_Full,2022-07-31,Tactical,FRE0004,0.62,AAPF_FullTactical2022-07-31
7202,AAPF_Full,2022-07-31,Tactical,MAQ0641AU,2.37,AAPF_FullTactical2022-07-31
7207,AAPF_Full,2022-07-31,Tactical,FRE0003,4.71,AAPF_FullTactical2022-07-31
7242,AAPF_Full,2022-08-31,Tactical,FRE0004,0.61,AAPF_FullTactical2022-08-31
7246,AAPF_Full,2022-08-31,Tactical,MAQ0641AU,2.32,AAPF_FullTactical2022-08-31
7251,AAPF_Full,2022-08-31,Tactical,FRE0003,4.61,AAPF_FullTactical2022-08-31
7285,AAPF_Full,2022-09-30,Tactical,FRE0004,0.68,AAPF_FullTactical2022-09-30
7292,AAPF_Full,2022-09-30,Tactical,FRE0003,4.81,AAPF_FullTactical2022-09-30
7329,AAPF_Full,2022-10-31,Tactical,FRE0004,0.64,AAPF_FullTactical2022-10-31
7337,AAPF_Full,2022-10-31,Tactical,FRE0003,4.55,AAPF_FullTactical2022-10-31
7375,AAPF_Full,2022-11-30,Tactical,FRE0004,0.63,AAPF_FullTactical2022-11-30
7383,AAPF_Full,2022-11-30,Tactical,FRE0003,4.55,AAPF_FullTactical2022-11-30
7397,AAPF_Full,2022-11-30,Tactical,0000565U,0.86,AAPF_FullTactical2022-11-30
7399,AAPF_Full,2022-11-30,Tactical,0000566U,0.7,AAPF_FullTactical2022-11-30
7423,AAPF_Full,2022-12-31,Tactical,FRE0004,0.65,AAPF_FullTactical2022-12-31
7470,AAPF_Full,2023-01-31,Tactical,FRE0004,0.64,AAPF_FullTactical2023-01-31
7517,AAPF_Full,2023-02-28,Tactical,FRE0004,0.6,AAPF_FullTactical2023-02-28
7563,AAPF_Full,2023-03-31,Tactical,FRE0004,0.61,AAPF_FullTactical2023-03-31
7576,AAPF_Full,2023-03-31,Tactical,HMCXX,0.17,AAPF_FullTactical2023-03-31
7577,AAPF_Full,2023-03-31,Tactical,HCWXX,0.67,AAPF_FullTactical2023-03-31
7611,AAPF_Full,2023-04-30,Tactical,FRE0004,0.6,AAPF_FullTactical2023-04-30
7659,AAPF_Full,2023-05-31,Tactical,FRE0004,0.6,AAPF_FullTactical2023-05-31
7701,AAPF_Full,2023-06-30,Tactical,ASKXX,0.23,AAPF_FullTactical2023-06-30
7710,AAPF_Full,2023-06-30,Tactical,FRE0004,0.59,AAPF_FullTactical2023-06-30
7751,AAPF_Full,2023-07-31,Tactical,0-AU,0.0,AAPF_FullTactical2023-07-31
